[00:55:35] [main/INFO]: ModLauncher running: args [--launchTarget, forgeserver, --fml.forgeVersion, 39.0.5, --fml.mcVersion, 1.18.1, --fml.forgeGroup, net.minecraftforge, --fml.mcpVersion, 20211210.034407, nogui]
[00:55:35] [main/INFO]: ModLauncher 9.0.7+91+master.8569cdf starting: java version 17.0.1 by Oracle Corporation
[00:55:39] [main/INFO]: SpongePowered MIXIN Subsystem Version=0.8.5 Source=union:/D:/Servers/SIMPLE-SERVER-FILES-0.2.6/SIMPLE-SERVER-FILES-0.2.6/Server3/SIMPLE-SERVER-FILES-0.2.6/setup/libraries/org/spongepowered/mixin/0.8.5/mixin-0.8.5.jar%2319! Service=ModLauncher Env=SERVER
[00:55:40] [main/INFO]: Found mod file absentbydesign-1.18-1.6.0.jar of type MOD with locator {mods folder locator at D:\Servers\SIMPLE-SERVER-FILES-0.2.6\SIMPLE-SERVER-FILES-0.2.6\Server3\SIMPLE-SERVER-FILES-0.2.6\setup\mods}
[00:55:40] [main/INFO]: Found mod file AdditionalEnchantedMiner-1.18.1-18.3.jar of type MOD with locator {mods folder locator at D:\Servers\SIMPLE-SERVER-FILES-0.2.6\SIMPLE-SERVER-FILES-0.2.6\Server3\SIMPLE-SERVER-FILES-0.2.6\setup\mods}
[00:55:40] [main/INFO]: Found mod file additionallanterns-1.0.0-mc1.18.jar of type MOD with locator {mods folder locator at D:\Servers\SIMPLE-SERVER-FILES-0.2.6\SIMPLE-SERVER-FILES-0.2.6\Server3\SIMPLE-SERVER-FILES-0.2.6\setup\mods}
[00:55:40] [main/INFO]: Found mod file advancedperipherals-1.18.1-0.7.8r.jar of type MOD with locator {mods folder locator at D:\Servers\SIMPLE-SERVER-FILES-0.2.6\SIMPLE-SERVER-FILES-0.2.6\Server3\SIMPLE-SERVER-FILES-0.2.6\setup\mods}
[00:55:40] [main/INFO]: Found mod file AI-Improvements-1.18-0.4.0.jar of type MOD with locator {mods folder locator at D:\Servers\SIMPLE-SERVER-FILES-0.2.6\SIMPLE-SERVER-FILES-0.2.6\Server3\SIMPLE-SERVER-FILES-0.2.6\setup\mods}
[00:55:40] [main/INFO]: Found mod file alexsmobs-1.14.4.jar of type MOD with locator {mods folder locator at D:\Servers\SIMPLE-SERVER-FILES-0.2.6\SIMPLE-SERVER-FILES-0.2.6\Server3\SIMPLE-SERVER-FILES-0.2.6\setup\mods}
[00:55:40] [main/INFO]: Found mod file AllTheCompressed-1.0.0-1.18-38.0.14.jar of type MOD with locator {mods folder locator at D:\Servers\SIMPLE-SERVER-FILES-0.2.6\SIMPLE-SERVER-FILES-0.2.6\Server3\SIMPLE-SERVER-FILES-0.2.6\setup\mods}
[00:55:40] [main/INFO]: Found mod file allthemodium-1.7.0-pre6-1.18.1-39.0.0.jar of type MOD with locator {mods folder locator at D:\Servers\SIMPLE-SERVER-FILES-0.2.6\SIMPLE-SERVER-FILES-0.2.6\Server3\SIMPLE-SERVER-FILES-0.2.6\setup\mods}
[00:55:40] [main/INFO]: Found mod file alltheores-1.7.1-1.18.1-39.0.0.jar of type MOD with locator {mods folder locator at D:\Servers\SIMPLE-SERVER-FILES-0.2.6\SIMPLE-SERVER-FILES-0.2.6\Server3\SIMPLE-SERVER-FILES-0.2.6\setup\mods}
[00:55:40] [main/INFO]: Found mod file allthetweaks-1.8.2-1.18.1-39.0.0.jar of type MOD with locator {mods folder locator at D:\Servers\SIMPLE-SERVER-FILES-0.2.6\SIMPLE-SERVER-FILES-0.2.6\Server3\SIMPLE-SERVER-FILES-0.2.6\setup\mods}
[00:55:40] [main/INFO]: Found mod file appleskin-forge-mc1.18-2.2.0.jar of type MOD with locator {mods folder locator at D:\Servers\SIMPLE-SERVER-FILES-0.2.6\SIMPLE-SERVER-FILES-0.2.6\Server3\SIMPLE-SERVER-FILES-0.2.6\setup\mods}
[00:55:40] [main/INFO]: Found mod file appliedenergistics2-10.0.0-alpha.6.jar of type MOD with locator {mods folder locator at D:\Servers\SIMPLE-SERVER-FILES-0.2.6\SIMPLE-SERVER-FILES-0.2.6\Server3\SIMPLE-SERVER-FILES-0.2.6\setup\mods}
[00:55:40] [main/INFO]: Found mod file Aquaculture-1.18.1-2.3.1.jar of type MOD with locator {mods folder locator at D:\Servers\SIMPLE-SERVER-FILES-0.2.6\SIMPLE-SERVER-FILES-0.2.6\Server3\SIMPLE-SERVER-FILES-0.2.6\setup\mods}
[00:55:40] [main/INFO]: Found mod file architectury-3.2.51.jar of type MOD with locator {mods folder locator at D:\Servers\SIMPLE-SERVER-FILES-0.2.6\SIMPLE-SERVER-FILES-0.2.6\Server3\SIMPLE-SERVER-FILES-0.2.6\setup\mods}
[00:55:40] [main/INFO]: Found mod file balm-2.3.1+0.jar of type MOD with locator {mods folder locator at D:\Servers\SIMPLE-SERVER-FILES-0.2.6\SIMPLE-SERVER-FILES-0.2.6\Server3\SIMPLE-SERVER-FILES-0.2.6\setup\mods}
[00:55:40] [main/INFO]: Found mod file baubley-heart-canisters-1.18-1.0.0.jar of type MOD with locator {mods folder locator at D:\Servers\SIMPLE-SERVER-FILES-0.2.6\SIMPLE-SERVER-FILES-0.2.6\Server3\SIMPLE-SERVER-FILES-0.2.6\setup\mods}
[00:55:40] [main/INFO]: Found mod file betterfpsdist-1.18-1.1.jar of type MOD with locator {mods folder locator at D:\Servers\SIMPLE-SERVER-FILES-0.2.6\SIMPLE-SERVER-FILES-0.2.6\Server3\SIMPLE-SERVER-FILES-0.2.6\setup\mods}
[00:55:40] [main/INFO]: Found mod file biggerreactors-1.18.1-0.6.0-alpha.9.1.jar of type MOD with locator {mods folder locator at D:\Servers\SIMPLE-SERVER-FILES-0.2.6\SIMPLE-SERVER-FILES-0.2.6\Server3\SIMPLE-SERVER-FILES-0.2.6\setup\mods}
[00:55:40] [main/INFO]: Found mod file blockui-1.18-0.0.34-ALPHA.jar of type MOD with locator {mods folder locator at D:\Servers\SIMPLE-SERVER-FILES-0.2.6\SIMPLE-SERVER-FILES-0.2.6\Server3\SIMPLE-SERVER-FILES-0.2.6\setup\mods}
[00:55:40] [main/INFO]: Found mod file blockydoors-1.18-1.0.0.jar of type MOD with locator {mods folder locator at D:\Servers\SIMPLE-SERVER-FILES-0.2.6\SIMPLE-SERVER-FILES-0.2.6\Server3\SIMPLE-SERVER-FILES-0.2.6\setup\mods}
[00:55:40] [main/INFO]: Found mod file buildinggadgets-3.10.1-build.3+mc1.18.jar of type MOD with locator {mods folder locator at D:\Servers\SIMPLE-SERVER-FILES-0.2.6\SIMPLE-SERVER-FILES-0.2.6\Server3\SIMPLE-SERVER-FILES-0.2.6\setup\mods}
[00:55:40] [main/INFO]: Found mod file caelus-forge-1.18-3.0.0.1.jar of type MOD with locator {mods folder locator at D:\Servers\SIMPLE-SERVER-FILES-0.2.6\SIMPLE-SERVER-FILES-0.2.6\Server3\SIMPLE-SERVER-FILES-0.2.6\setup\mods}
[00:55:40] [main/INFO]: Found mod file catalogue-1.6.0-1.18.1.jar of type MOD with locator {mods folder locator at D:\Servers\SIMPLE-SERVER-FILES-0.2.6\SIMPLE-SERVER-FILES-0.2.6\Server3\SIMPLE-SERVER-FILES-0.2.6\setup\mods}
[00:55:40] [main/INFO]: Found mod file cc-tweaked-1.18.1-1.99.1.jar of type MOD with locator {mods folder locator at D:\Servers\SIMPLE-SERVER-FILES-0.2.6\SIMPLE-SERVER-FILES-0.2.6\Server3\SIMPLE-SERVER-FILES-0.2.6\setup\mods}
[00:55:40] [main/INFO]: Found mod file charginggadgets-1.5.0.jar of type MOD with locator {mods folder locator at D:\Servers\SIMPLE-SERVER-FILES-0.2.6\SIMPLE-SERVER-FILES-0.2.6\Server3\SIMPLE-SERVER-FILES-0.2.6\setup\mods}
[00:55:40] [main/INFO]: Found mod file citadel-1.10.3-1.18.jar of type MOD with locator {mods folder locator at D:\Servers\SIMPLE-SERVER-FILES-0.2.6\SIMPLE-SERVER-FILES-0.2.6\Server3\SIMPLE-SERVER-FILES-0.2.6\setup\mods}
[00:55:40] [main/INFO]: Found mod file cleancut-mc1.18-3.0-forge.jar of type MOD with locator {mods folder locator at D:\Servers\SIMPLE-SERVER-FILES-0.2.6\SIMPLE-SERVER-FILES-0.2.6\Server3\SIMPLE-SERVER-FILES-0.2.6\setup\mods}
[00:55:40] [main/INFO]: Found mod file clickadv-1.18-2.0.jar of type MOD with locator {mods folder locator at D:\Servers\SIMPLE-SERVER-FILES-0.2.6\SIMPLE-SERVER-FILES-0.2.6\Server3\SIMPLE-SERVER-FILES-0.2.6\setup\mods}
[00:55:40] [main/INFO]: Found mod file ClickMachine-1.18.1-6.0.0.jar of type MOD with locator {mods folder locator at D:\Servers\SIMPLE-SERVER-FILES-0.2.6\SIMPLE-SERVER-FILES-0.2.6\Server3\SIMPLE-SERVER-FILES-0.2.6\setup\mods}
[00:55:40] [main/INFO]: Found mod file clienttweaks-forge-1.18-7.0.0.jar of type MOD with locator {mods folder locator at D:\Servers\SIMPLE-SERVER-FILES-0.2.6\SIMPLE-SERVER-FILES-0.2.6\Server3\SIMPLE-SERVER-FILES-0.2.6\setup\mods}
[00:55:40] [main/INFO]: Found mod file cloth-config-6.1.48-forge.jar of type MOD with locator {mods folder locator at D:\Servers\SIMPLE-SERVER-FILES-0.2.6\SIMPLE-SERVER-FILES-0.2.6\Server3\SIMPLE-SERVER-FILES-0.2.6\setup\mods}
[00:55:40] [main/INFO]: Found mod file Clumps-forge-1.18.1-8.0.3.jar of type MOD with locator {mods folder locator at D:\Servers\SIMPLE-SERVER-FILES-0.2.6\SIMPLE-SERVER-FILES-0.2.6\Server3\SIMPLE-SERVER-FILES-0.2.6\setup\mods}
[00:55:40] [main/INFO]: Found mod file collective-1.18.1-3.8.jar of type MOD with locator {mods folder locator at D:\Servers\SIMPLE-SERVER-FILES-0.2.6\SIMPLE-SERVER-FILES-0.2.6\Server3\SIMPLE-SERVER-FILES-0.2.6\setup\mods}
[00:55:40] [main/INFO]: Found mod file comforts-forge-1.18-5.0.0.1.jar of type MOD with locator {mods folder locator at D:\Servers\SIMPLE-SERVER-FILES-0.2.6\SIMPLE-SERVER-FILES-0.2.6\Server3\SIMPLE-SERVER-FILES-0.2.6\setup\mods}
[00:55:40] [main/INFO]: Found mod file configured-1.5.1-1.18.1.jar of type MOD with locator {mods folder locator at D:\Servers\SIMPLE-SERVER-FILES-0.2.6\SIMPLE-SERVER-FILES-0.2.6\Server3\SIMPLE-SERVER-FILES-0.2.6\setup\mods}
[00:55:40] [main/INFO]: Found mod file connectedglass-1.1.1-mc1.18.jar of type MOD with locator {mods folder locator at D:\Servers\SIMPLE-SERVER-FILES-0.2.6\SIMPLE-SERVER-FILES-0.2.6\Server3\SIMPLE-SERVER-FILES-0.2.6\setup\mods}
[00:55:40] [main/INFO]: Found mod file constructionwand-1.18.1-2.6.jar of type MOD with locator {mods folder locator at D:\Servers\SIMPLE-SERVER-FILES-0.2.6\SIMPLE-SERVER-FILES-0.2.6\Server3\SIMPLE-SERVER-FILES-0.2.6\setup\mods}
[00:55:40] [main/INFO]: Found mod file cookingforblockheads-forge-1.18-11.0.0.jar of type MOD with locator {mods folder locator at D:\Servers\SIMPLE-SERVER-FILES-0.2.6\SIMPLE-SERVER-FILES-0.2.6\Server3\SIMPLE-SERVER-FILES-0.2.6\setup\mods}
[00:55:40] [main/INFO]: Found mod file corail_woodcutter-1.18-2.2.0.jar of type MOD with locator {mods folder locator at D:\Servers\SIMPLE-SERVER-FILES-0.2.6\SIMPLE-SERVER-FILES-0.2.6\Server3\SIMPLE-SERVER-FILES-0.2.6\setup\mods}
[00:55:40] [main/INFO]: Found mod file CosmeticArmorReworked-1.18.1-v1.jar of type MOD with locator {mods folder locator at D:\Servers\SIMPLE-SERVER-FILES-0.2.6\SIMPLE-SERVER-FILES-0.2.6\Server3\SIMPLE-SERVER-FILES-0.2.6\setup\mods}
[00:55:40] [main/INFO]: Found mod file craftingtweaks-forge-1.18.1-14.0.1.jar of type MOD with locator {mods folder locator at D:\Servers\SIMPLE-SERVER-FILES-0.2.6\SIMPLE-SERVER-FILES-0.2.6\Server3\SIMPLE-SERVER-FILES-0.2.6\setup\mods}
[00:55:40] [main/INFO]: Found mod file create-mc1.18.1_v0.4a.jar of type MOD with locator {mods folder locator at D:\Servers\SIMPLE-SERVER-FILES-0.2.6\SIMPLE-SERVER-FILES-0.2.6\Server3\SIMPLE-SERVER-FILES-0.2.6\setup\mods}
[00:55:40] [main/INFO]: Found mod file Croptopia-1.18-FORGE-1.7.4.jar of type MOD with locator {mods folder locator at D:\Servers\SIMPLE-SERVER-FILES-0.2.6\SIMPLE-SERVER-FILES-0.2.6\Server3\SIMPLE-SERVER-FILES-0.2.6\setup\mods}
[00:55:40] [main/INFO]: Found mod file Cucumber-1.18.1-5.0.1.jar of type MOD with locator {mods folder locator at D:\Servers\SIMPLE-SERVER-FILES-0.2.6\SIMPLE-SERVER-FILES-0.2.6\Server3\SIMPLE-SERVER-FILES-0.2.6\setup\mods}
[00:55:40] [main/INFO]: Found mod file curioofundying-forge-1.18-5.3.0.0.jar of type MOD with locator {mods folder locator at D:\Servers\SIMPLE-SERVER-FILES-0.2.6\SIMPLE-SERVER-FILES-0.2.6\Server3\SIMPLE-SERVER-FILES-0.2.6\setup\mods}
[00:55:40] [main/INFO]: Found mod file curios-forge-1.18.1-5.0.3.0.jar of type MOD with locator {mods folder locator at D:\Servers\SIMPLE-SERVER-FILES-0.2.6\SIMPLE-SERVER-FILES-0.2.6\Server3\SIMPLE-SERVER-FILES-0.2.6\setup\mods}
[00:55:40] [main/INFO]: Found mod file curiouselytra-forge-1.18.1-5.0.0.1.jar of type MOD with locator {mods folder locator at D:\Servers\SIMPLE-SERVER-FILES-0.2.6\SIMPLE-SERVER-FILES-0.2.6\Server3\SIMPLE-SERVER-FILES-0.2.6\setup\mods}
[00:55:40] [main/INFO]: Found mod file curiousshulkerboxes-forge-1.18.1-4.2.0.0.jar of type MOD with locator {mods folder locator at D:\Servers\SIMPLE-SERVER-FILES-0.2.6\SIMPLE-SERVER-FILES-0.2.6\Server3\SIMPLE-SERVER-FILES-0.2.6\setup\mods}
[00:55:40] [main/INFO]: Found mod file DimStorage-1.18.1-6.0.0.jar of type MOD with locator {mods folder locator at D:\Servers\SIMPLE-SERVER-FILES-0.2.6\SIMPLE-SERVER-FILES-0.2.6\Server3\SIMPLE-SERVER-FILES-0.2.6\setup\mods}
[00:55:40] [main/INFO]: Found mod file domum_ornamentum-1.18-1.0.31-ALPHA-universal.jar of type MOD with locator {mods folder locator at D:\Servers\SIMPLE-SERVER-FILES-0.2.6\SIMPLE-SERVER-FILES-0.2.6\Server3\SIMPLE-SERVER-FILES-0.2.6\setup\mods}
[00:55:40] [main/INFO]: Found mod file dynview-1.18-2.3.jar of type MOD with locator {mods folder locator at D:\Servers\SIMPLE-SERVER-FILES-0.2.6\SIMPLE-SERVER-FILES-0.2.6\Server3\SIMPLE-SERVER-FILES-0.2.6\setup\mods}
[00:55:40] [main/INFO]: Found mod file elevatorid-1.18-1.8.3.jar of type MOD with locator {mods folder locator at D:\Servers\SIMPLE-SERVER-FILES-0.2.6\SIMPLE-SERVER-FILES-0.2.6\Server3\SIMPLE-SERVER-FILES-0.2.6\setup\mods}
[00:55:40] [main/INFO]: Found mod file enhancedcelestials-2.0.9-1.18.jar of type MOD with locator {mods folder locator at D:\Servers\SIMPLE-SERVER-FILES-0.2.6\SIMPLE-SERVER-FILES-0.2.6\Server3\SIMPLE-SERVER-FILES-0.2.6\setup\mods}
[00:55:40] [main/INFO]: Found mod file entangled-1.3.10-mc1.18.jar of type MOD with locator {mods folder locator at D:\Servers\SIMPLE-SERVER-FILES-0.2.6\SIMPLE-SERVER-FILES-0.2.6\Server3\SIMPLE-SERVER-FILES-0.2.6\setup\mods}
[00:55:40] [main/INFO]: Found mod file ExtraDisks-1.18.1-2.0.2.jar of type MOD with locator {mods folder locator at D:\Servers\SIMPLE-SERVER-FILES-0.2.6\SIMPLE-SERVER-FILES-0.2.6\Server3\SIMPLE-SERVER-FILES-0.2.6\setup\mods}
[00:55:40] [main/INFO]: Found mod file farmingforblockheads-forge-1.18-9.0.0.jar of type MOD with locator {mods folder locator at D:\Servers\SIMPLE-SERVER-FILES-0.2.6\SIMPLE-SERVER-FILES-0.2.6\Server3\SIMPLE-SERVER-FILES-0.2.6\setup\mods}
[00:55:40] [main/INFO]: Found mod file FastFurnace-1.18.1-6.0.1.jar of type MOD with locator {mods folder locator at D:\Servers\SIMPLE-SERVER-FILES-0.2.6\SIMPLE-SERVER-FILES-0.2.6\Server3\SIMPLE-SERVER-FILES-0.2.6\setup\mods}
[00:55:40] [main/INFO]: Found mod file FastSuite-1.18.1-3.0.0.jar of type MOD with locator {mods folder locator at D:\Servers\SIMPLE-SERVER-FILES-0.2.6\SIMPLE-SERVER-FILES-0.2.6\Server3\SIMPLE-SERVER-FILES-0.2.6\setup\mods}
[00:55:40] [main/INFO]: Found mod file FastWorkbench-1.18.1-6.0.0.jar of type MOD with locator {mods folder locator at D:\Servers\SIMPLE-SERVER-FILES-0.2.6\SIMPLE-SERVER-FILES-0.2.6\Server3\SIMPLE-SERVER-FILES-0.2.6\setup\mods}
[00:55:40] [main/INFO]: Found mod file ferritecore-4.0.0-forge.jar of type MOD with locator {mods folder locator at D:\Servers\SIMPLE-SERVER-FILES-0.2.6\SIMPLE-SERVER-FILES-0.2.6\Server3\SIMPLE-SERVER-FILES-0.2.6\setup\mods}
[00:55:40] [main/INFO]: Found mod file flywheel-forge-1.18-0.4.2-rc.jar of type MOD with locator {mods folder locator at D:\Servers\SIMPLE-SERVER-FILES-0.2.6\SIMPLE-SERVER-FILES-0.2.6\Server3\SIMPLE-SERVER-FILES-0.2.6\setup\mods}
[00:55:40] [main/INFO]: Found mod file furniture-7.0.0-pre27-1.18.1.jar of type MOD with locator {mods folder locator at D:\Servers\SIMPLE-SERVER-FILES-0.2.6\SIMPLE-SERVER-FILES-0.2.6\Server3\SIMPLE-SERVER-FILES-0.2.6\setup\mods}
[00:55:40] [main/INFO]: Found mod file geckolib-1.18-forge-3.0.3.jar of type MOD with locator {mods folder locator at D:\Servers\SIMPLE-SERVER-FILES-0.2.6\SIMPLE-SERVER-FILES-0.2.6\Server3\SIMPLE-SERVER-FILES-0.2.6\setup\mods}
[00:55:40] [main/INFO]: Found mod file glassential-forge-1.18-1.2.1.jar of type MOD with locator {mods folder locator at D:\Servers\SIMPLE-SERVER-FILES-0.2.6\SIMPLE-SERVER-FILES-0.2.6\Server3\SIMPLE-SERVER-FILES-0.2.6\setup\mods}
[00:55:40] [main/INFO]: Found mod file HostileNeuralNetworks-1.18.1-3.0.3.jar of type MOD with locator {mods folder locator at D:\Servers\SIMPLE-SERVER-FILES-0.2.6\SIMPLE-SERVER-FILES-0.2.6\Server3\SIMPLE-SERVER-FILES-0.2.6\setup\mods}
[00:55:40] [main/INFO]: Found mod file Iceberg-1.18.1-1.0.31.jar of type MOD with locator {mods folder locator at D:\Servers\SIMPLE-SERVER-FILES-0.2.6\SIMPLE-SERVER-FILES-0.2.6\Server3\SIMPLE-SERVER-FILES-0.2.6\setup\mods}
[00:55:40] [main/INFO]: Found mod file infernalmobs-1.18.1.jar of type MOD with locator {mods folder locator at D:\Servers\SIMPLE-SERVER-FILES-0.2.6\SIMPLE-SERVER-FILES-0.2.6\Server3\SIMPLE-SERVER-FILES-0.2.6\setup\mods}
[00:55:40] [main/INFO]: Found mod file inventoryessentials-forge-1.18-4.0.0.jar of type MOD with locator {mods folder locator at D:\Servers\SIMPLE-SERVER-FILES-0.2.6\SIMPLE-SERVER-FILES-0.2.6\Server3\SIMPLE-SERVER-FILES-0.2.6\setup\mods}
[00:55:40] [main/INFO]: Found mod file inventorysorter-1.18-19.0.0.jar of type MOD with locator {mods folder locator at D:\Servers\SIMPLE-SERVER-FILES-0.2.6\SIMPLE-SERVER-FILES-0.2.6\Server3\SIMPLE-SERVER-FILES-0.2.6\setup\mods}
[00:55:40] [main/INFO]: Found mod file ironchest-1.18-13.0.5.jar of type MOD with locator {mods folder locator at D:\Servers\SIMPLE-SERVER-FILES-0.2.6\SIMPLE-SERVER-FILES-0.2.6\Server3\SIMPLE-SERVER-FILES-0.2.6\setup\mods}
[00:55:40] [main/INFO]: Found mod file ironfurnaces-1.18.1-3.1.0.jar of type MOD with locator {mods folder locator at D:\Servers\SIMPLE-SERVER-FILES-0.2.6\SIMPLE-SERVER-FILES-0.2.6\Server3\SIMPLE-SERVER-FILES-0.2.6\setup\mods}
[00:55:40] [main/INFO]: Found mod file itemcollectors-1.1.3-mc1.18.jar of type MOD with locator {mods folder locator at D:\Servers\SIMPLE-SERVER-FILES-0.2.6\SIMPLE-SERVER-FILES-0.2.6\Server3\SIMPLE-SERVER-FILES-0.2.6\setup\mods}
[00:55:40] [main/INFO]: Found mod file jei-1.18.1-9.1.0.47.jar of type MOD with locator {mods folder locator at D:\Servers\SIMPLE-SERVER-FILES-0.2.6\SIMPLE-SERVER-FILES-0.2.6\Server3\SIMPLE-SERVER-FILES-0.2.6\setup\mods}
[00:55:40] [main/INFO]: Found mod file journeymap-1.18-5.8.0alpha9.jar of type MOD with locator {mods folder locator at D:\Servers\SIMPLE-SERVER-FILES-0.2.6\SIMPLE-SERVER-FILES-0.2.6\Server3\SIMPLE-SERVER-FILES-0.2.6\setup\mods}
[00:55:40] [main/INFO]: Found mod file JustEnoughProfessions-1.18-1.2.2.jar of type MOD with locator {mods folder locator at D:\Servers\SIMPLE-SERVER-FILES-0.2.6\SIMPLE-SERVER-FILES-0.2.6\Server3\SIMPLE-SERVER-FILES-0.2.6\setup\mods}
